days,C1-Cu,C3-Cu,C4-Cu,C6-Cu,C8-Cu,C9-Cu,C10-Cu,C11-Cu,C12-Cu,C13-Cu,C1-Ni,C3-Ni,C4-Ni,C6-Ni,C8-Ni,C9-Ni,C10-Ni,C11-Ni,C12-Ni,C13-Ni
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,0.000497535,0.001349699,0.00385818,0.001232709,0.002936003,0.019892532,0.025042868,0,-0.016486942,0,0.000298957,0.001321197,0.006241834,0.000792448,0.00450671,0.032283381,0.023216411,0,0.009241913,0
10,0.001175629,0.003718631,0.009695806,0.00410266,0.009651958,0.029913017,0.039112264,0.000820864,-0.021189397,-0.000688881,0.000723139,0.004055194,0.015536285,0.002688057,0.016589197,0.04730098,0.043180186,0.016022328,0.014164175,0.011273652
11,0.002010974,0.006620237,0.013361273,0.00721207,0.01643528,0.038899988,0.055997945,0.002227251,-0.02484666,0.000471285,0.001252536,0.007550123,0.021409849,0.004750282,0.028745274,0.060332002,0.066510388,0.033375204,0.019333195,0.029461378
12,0.002850823,0.010099704,0.017352691,0.01053081,0.023758376,0.05349556,0.077410725,0.007004467,-0.026951925,0.005923982,0.001781683,0.011530617,0.028601015,0.006873231,0.041187076,0.080742869,0.094986041,0.053446949,0.025863248,0.057170517
13,0.003258168,0.012357446,0.019408464,0.012075093,0.027366892,0.065745323,0.093137915,0.013267638,-0.027690823,0.011566057,0.002041588,0.014006538,0.032531144,0.007840164,0.047248968,0.097005172,0.114437712,0.068961894,0.03172349,0.079700556
14,0.004012136,0.015314395,0.021903822,0.01485411,0.032087914,0.078103878,0.10651404,0.019302653,-0.025921842,0.01771775,0.002539795,0.017225775,0.037493794,0.009571597,0.055184082,0.112841499,0.131041941,0.082703255,0.037414512,0.102022912
15,0.005204731,0.020736926,0.025677201,0.019070821,0.039341565,0.089345658,0.125794565,0.026182854,-0.022963193,0.025306063,0.003436965,0.023172314,0.045428815,0.012377453,0.067450012,0.127416741,0.15662891,0.096033906,0.044938055,0.12524324
16,0.006613744,0.02631094,0.029767452,0.023206248,0.047195331,0.099365302,0.144006978,0.035013729,-0.020605532,0.033384155,0.004462996,0.029601685,0.053958092,0.01532128,0.080891667,0.1402194,0.17873881,0.110990775,0.051488899,0.14580685
17,0.008114187,0.032896147,0.03343026,0.027186249,0.05380791,0.108785703,0.160443674,0.043898642,-0.017251592,0.04031163,0.005526247,0.03728571,0.061769258,0.01845255,0.092478717,0.152060896,0.197318912,0.124133319,0.058262682,0.165755398
18,0.009654499,0.039366868,0.036976337,0.030742426,0.060018934,0.116527045,0.168071379,0.048354083,-0.013912447,0.046836028,0.006624611,0.045086515,0.069130265,0.021582313,0.103302037,0.162103172,0.205804542,0.129797746,0.062774298,0.179500288
19,0.011333621,0.045458266,0.040218575,0.034044881,0.065916994,0.12647508,0.18391737,0.059998878,-0.006264644,0.056351175,0.007799726,0.052473408,0.076376144,0.024851155,0.113663579,0.175797378,0.22421659,0.146338671,0.073429223,0.197924457
20,0.013329749,0.052083873,0.043539917,0.037169451,0.071843997,0.135083275,0.193542335,0.067424051,-0.001745113,0.065131305,0.009228938,0.060765955,0.084040242,0.028358177,0.124931412,0.187048731,0.235484519,0.156048418,0.079321144,0.213787475
21,0.014831807,0.057784946,0.045799275,0.039336358,0.075839153,0.142510994,0.204846635,0.077929918,0.003819386,0.071854188,0.010331554,0.067823147,0.089434945,0.031038579,0.132904608,0.197002292,0.248365255,0.168416672,0.087656155,0.227066132
22,0.016652243,0.063142299,0.048340734,0.041584896,0.08020623,0.149947718,0.214873514,0.087497798,0.011119812,0.083083674,0.01174861,0.074996204,0.095870184,0.034081365,0.141576277,0.207246592,0.259473846,0.179419162,0.09453738,0.243986586
23,0.018636329,0.068679325,0.050900973,0.043707778,0.084290683,0.158160612,0.223210328,0.096399311,0.018417888,0.093962598,0.013385379,0.082862666,0.102446437,0.03720592,0.150187201,0.219119279,0.268447463,0.188370918,0.101318511,0.258618138
24,0.0205118,0.073242625,0.052993965,0.045466972,0.087872015,0.163717832,0.229863266,0.102744309,0.025478447,0.10276758,0.015016525,0.089566789,0.108072623,0.039975445,0.158315995,0.226581463,0.275649627,0.195262376,0.107534921,0.269015987
